iteration,reward_mean,length_mean,games,loss
209000,23.12,26.12,8,0.038453005254268646
209500,25.62,28.62,8,0.01859261840581894
210000,22.5,25.5,8,0.026708431541919708
210500,25.88,28.88,8,0.024239283055067062
211000,23.12,26.12,8,0.03761495277285576
211500,22.62,25.62,8,0.01328318566083908
212000,24.75,27.75,8,0.025682827457785606
212500,23.12,26.12,8,0.0165375005453825
213000,21.62,24.62,8,0.04937227815389633
213500,21.12,24.12,8,0.03218596428632736
214000,24.38,27.38,8,0.027241632342338562
214500,19.38,22.38,8,0.02354547753930092
215000,24.38,27.38,8,0.0408385694026947
215500,18.62,21.62,8,0.024208340793848038
216000,23.88,26.88,8,0.016121940687298775
216500,23.88,26.88,8,0.019974226132035255
217000,20.5,23.5,8,0.027293015271425247
217500,18.75,21.75,8,0.03240872174501419
218000,22.12,25.12,8,0.030757131054997444
218500,21.38,24.38,8,0.02281155250966549
219000,22.25,25.25,8,0.03650067001581192
219500,23.88,26.88,8,0.037729907780885696
220000,17.88,20.88,8,0.014621974900364876
220500,23.38,26.38,8,0.030032742768526077
221000,24.62,27.62,8,0.03806682676076889
221500,18.25,21.25,8,0.02009875513613224
222000,23.75,26.75,8,0.013141481205821037
222500,19.75,22.75,8,0.0251307375729084
223000,25.62,28.62,8,0.04211926460266113
223500,22.5,25.5,8,0.016027309000492096
224000,23.5,26.5,8,0.021147165447473526
224500,20.62,23.62,8,0.021064117550849915
225000,26.12,29.12,8,0.01260251086205244
225500,25.5,28.5,8,0.027674149721860886
226000,23.89,26.89,9,0.02669491618871689
226500,23.75,26.75,8,0.01729717291891575
227000,26.0,29.0,8,0.018546011298894882
227500,23.25,26.25,8,0.04073628783226013
228000,19.88,22.88,8,0.025502966716885567
228500,22.12,25.12,8,0.023248031735420227
229000,21.75,24.75,8,0.011778105050325394
229500,22.88,25.88,8,0.01800677739083767
230000,24.88,27.88,8,0.020339548587799072
230500,24.0,27.0,8,0.030214505270123482
231000,20.12,23.12,8,0.020430617034435272
231500,22.38,25.38,8,0.022163674235343933
232000,23.5,26.5,8,0.0192258283495903
232500,25.88,28.88,8,0.014832753688097
233000,26.5,29.5,8,0.030657578259706497
233500,25.44,28.44,9,0.043837402015924454
